team1_win_rate_vs_team2,team1_won_toss,toss_decision_bat,team1_venue_win_rate,team1_recent_form,team1_won
0.429,0,0,0.583,0.6,1
0.545,0,1,0.682,0.6,1
0.0,1,0,0.625,0.4,1
0.5,0,1,0.619,0.2,1
0.0,0,1,0.5,0.4,1
0.571,1,0,0.619,0.4,0
0.571,0,1,0.5,0.4,0
0.625,0,0,0.583,0.6,0
0.857,0,1,0.706,0.6,1
1.0,0,1,0.5,0.2,1
0.429,1,1,0.625,0.4,0
0.556,0,1,0.421,0.6,1
1.0,0,0,0.682,0.4,1
0.5,0,0,0.625,0.4,0
0.556,0,1,0.682,0.6,1
1.0,1,0,0.421,0.8,0
0.375,1,1,0.583,0.6,0
0.25,0,0,1.0,0.2,0
0.429,1,0,0.706,0.4,0
0.0,1,1,0.5,0.4,0
0.625,1,1,0.625,0.6,0
0.5,0,1,0.5,0.4,0
0.375,0,0,0.421,0.8,1
0.75,0,1,0.682,0.6,0
0.375,1,1,0.619,0.8,1
0.5,1,1,0.421,0.8,1
0.5,1,0,0.583,0.4,1
0.714,1,1,0.682,0.6,0
0.5,1,1,1.0,0.2,1
0.5,1,1,0.706,0.4,0
0.5,0,0,0.5,0.6,0
0.0,0,1,0.5,0.2,0
0.5,1,1,0.682,0.4,1
1.0,1,1,0.619,0.8,1
0.429,0,1,0.625,0.6,0
0.5,1,0,0.583,0.6,1
0.444,1,0,0.5,0.6,1
0.5,1,1,0.421,0.8,0
0.0,1,1,0.5,0.0,0
0.375,1,0,0.071,0.4,0
0.556,0,0,0.583,0.8,0
0.444,1,1,0.071,0.2,0
0.444,0,0,0.706,0.4,0
0.0,1,0,0.5,0.0,0
0.125,0,1,0.619,1.0,0
0.571,1,0,0.682,0.4,1
1.0,1,1,0.706,0.4,1
0.625,0,1,0.625,0.6,1
0.444,0,0,0.5,0.6,0
0.286,0,0,0.619,0.8,0
0.375,0,1,0.421,0.6,1
0.875,1,0,0.583,0.8,0
0.25,1,0,0.4,0.6,1
0.714,1,0,0.421,0.6,0
0.143,0,1,0.071,0.0,1
0.625,0,0,0.4,0.6,0
0.0,0,1,0.5,0.0,0
0.556,0,0,0.071,0.2,1
0.571,1,1,0.706,0.6,0
0.5,0,1,0.5,0.6,0
0.5,0,0,0.333,0.6,1
0.429,1,0,0.667,0.4,0
0.286,0,1,0.0,0.6,1
0.556,1,0,0.571,0.8,1
0.455,0,0,0.481,0.6,1
0.5,0,0,0.5,0.5,1
0.6,0,1,0.481,0.2,0
0.455,0,1,0.656,0.6,0
0.75,1,1,0.25,0.0,0
0.5,0,1,0.5,1.0,1
0.5,0,0,0.64,0.4,1
0.5,1,1,0.5,0.4,1
0.5,0,1,0.481,0.4,1
0.4,0,0,0.545,0.6,0
0.5,1,0,0.481,0.6,1
0.0,0,1,0.25,0.0,1
0.5,1,1,0.481,0.0,0
0.75,1,1,0.5,0.6,1
0.583,1,0,0.656,0.6,1
0.5,1,1,0.571,0.6,1
0.667,1,0,0.64,0.4,1
0.75,0,1,0.656,0.6,0
